
Standard & Poors 500 Index,Last: 4320.0601,Change:  -9.9399
"Date: 23 de setiembre de 2023, 00:32 GMT-4",Bid: 4311.1299,Ask: 4342.7598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 22 2023,SPXW230922C04310000,9.4,-25.7,6.9,9.7,1822,0,0,0,425,4310.00,SPXW230922P04310000,0.05,-6.3,0,0.05,55832,0,0,0,4566
Fri Sep 22 2023,SPXW230922C04315000,4.2,-27.1,3,4.8,3598,0,0,0,79,4315.00,SPXW230922P04315000,0.05,-7.45,0,0.05,64436,0,0,0,7816
Fri Sep 22 2023,SPXW230922C04320000,0.6,-27,0.35,1.3,13908,0,0,0,411,4320.00,SPXW230922P04320000,0.2,-8.6,0.3,1.5,88698,0,0,0,4055
Fri Sep 22 2023,SPXW230922C04325000,0.05,-24.4,0,0.05,21139,0,0,0,277,4325.00,SPXW230922P04325000,4.4,-5.95,3.6,7,78688,0,0,0,3422
Fri Sep 22 2023,SPXW230922C04330000,0.05,-21.1,0,0.05,31588,0,0,0,686,4330.00,SPXW230922P04330000,10.3,-1.65,10.4,11.9,82980,0,0,0,2165
Fri Sep 22 2023,SPXW230922C04335000,0.05,-18.05,0,0.05,48146,0,0,0,803,4335.00,SPXW230922P04335000,15.2,1.25,15.5,17,71261,0,0,0,2312
Mon Sep 25 2023,SPXW230925C04310000,25.23,-16.42,24.4,25.3,450,0.1115,0.6124,0.0091,82,4310.00,SPXW230925P04310000,10.5,-1.4,10.4,10.8,5199,0.106,-0.3873,0.0091,1208
Mon Sep 25 2023,SPXW230925C04315000,21.6,-15.9,21.3,21.7,739,0.1071,0.5676,0.0095,6,4315.00,SPXW230925P04315000,11.7,-0.4,12,12.4,4966,0.1037,-0.432,0.0095,1525
Mon Sep 25 2023,SPXW230925C04320000,18.7,-15.6,18.2,18.5,1999,0.1048,0.5202,0.0098,89,4320.00,SPXW230925P04320000,13.77,0.45,13.9,14.2,7543,0.1018,-0.4795,0.0098,691
Mon Sep 25 2023,SPXW230925C04325000,16.05,-16.35,15.3,15.6,2732,0.1029,0.4706,0.01,91,4325.00,SPXW230925P04325000,15.9,0.75,16,16.4,7782,0.0996,-0.5291,0.01,3347
